"Views" "Premium_account" "Laptop_time" "Phone_time" "Social_connections" "Fitness_level" "Language"
"1" 61.2890477751846 "1" 2.92 3.6 20.78 "0" "English"
"2" 60.6559268602273 "0" 2.83 3.55 19.76 "0" "English"
"3" 60.6248550128713 "1" 2.26 1.88 20.49 "1" "English"
"4" 67.5087894225236 "1" 1.41 3.35 20.4 "1" "English"
"5" 60.3413376330227 "0" 2.48 3.56 19.1 "0" "English"
"6" 61.7288116710023 "0" 3.55 3.66 19.11 "0" "English"
"7" 62.3230931925138 "1" 3.23 3.23 19.7 "0" "English"
"8" 61.2321209924148 "0" 2.68 3.49 19.95 "0" "English"
"9" 61.5142686963495 "1" 2.13 3.06 19.26 "0" "English"
"10" 64.0456892566906 "0" 3.91 3.52 19.62 "0" "English"
"11" 74.0377277117197 "1" 3.4 3.25 21.8 "1" "English"
"12" 56.4432635893434 "0" 1.83 3.11 20.48 "0" "English"
"13" 61.4751624961934 "1" 2.63 3.12 21.29 "0" "English"
"14" 59.897341355445 "0" 3.23 3.19 21.5 "0" "English"
"15" 64.0709960082659 "1" 3.39 2.87 20.37 "1" "English"
"16" 64.3536553194373 "0" 3.59 3.75 20.87 "0" "English"
"17" 59.401949767682 "1" 2.34 2.23 19.62 "0" "English"
"18" 62.1468089855794 "0" 3 3.34 20.12 "0" "English"
"19" 62.7781711896355 "1" 2.63 2.8 18.64 "0" "English"
"20" 64.4584342990367 "0" 4.23 3.21 18.88 "0" "English"
"21" 55.2622255807242 "0" 1.97 2.35 19.01 "0" "English"
"22" 67.9420486051356 "1" 4.94 2.83 19.58 "0" "English"
"23" 58.8154202071497 "0" 3.02 2.57 18.85 "0" "English"
"24" 58.5358055874787 "0" 2.86 2.31 19.83 "0" "English"
"25" 60.1024259276484 "1" 1.93 3.59 19.7 "0" "English"
"26" 53.2597870155646 "0" 1.18 2.69 20.74 "0" "English"
"27" 50.6563071078653 "1" -0.89 3.25 20.1 "0" "English"
"28" 62.2023985738311 "1" 1.37 2.81 20.04 "1" "English"
"29" 64.2784678344278 "1" 3.23 3.13 20.84 "0" "English"
"30" 65.2456080428951 "0" 3.99 3.24 18.75 "0" "English"
"31" 59.2501064863009 "0" 3.19 2.72 20.11 "0" "English"
"32" 59.7513462147515 "1" 1.65 2.64 20.21 "1" "English"
"33" 57.2134461638677 "0" 1.48 3.73 18.74 "0" "English"
"34" 60.6518329700396 "0" 2.96 3.64 19.62 "0" "English"
"35" 56.1643649044789 "1" 1.56 2.61 21.38 "0" "English"
"36" 62.7122934155366 "1" 2.75 2.94 20.32 "0" "English"
"37" 58.7462103042531 "1" 2.49 2.7 21.3 "0" "English"
"38" 58.154088905608 "0" 1.88 3.22 18.6 "0" "English"
"39" 58.1672077652155 "1" 1.96 2.97 20.87 "0" "English"
"40" 65.0093419240662 "1" 4.25 2.84 20.13 "0" "English"
"41" 61.7313903559303 "1" 1.81 2.45 18.41 "1" "English"
"42" 58.8777730063132 "1" 1.84 2.95 19.26 "0" "English"
"43" 58.3044397575475 "0" 2.52 2.25 21.81 "0" "English"
"44" 59.3445361623365 "1" 2.33 3.17 19.41 "0" "English"
"45" 64.2175766222985 "1" 3.87 2.59 21.86 "0" "English"
"46" 69.0772914794426 "1" 2.77 2.94 22.52 "1" "English"
"47" 58.5384970136074 "0" 2.12 2.45 20.06 "0" "English"
"48" 60.67707429829 "1" 1.89 3.3 19.96 "0" "English"
"49" 55.4967153911793 "0" 1.67 2.44 20.13 "0" "English"
"50" 54.9753045446543 "0" 1.55 2.92 20.42 "0" "English"
"51" 59.9648470453702 "0" 2.62 2.59 18.45 "0" "English"
"52" 59.2671497031851 "1" 2.19 3.42 19.92 "0" "English"
"53" 55.5696413999922 "1" 0.56 3.82 18.7 "0" "English"
"54" 70.4721745042658 "0" 4.74 2.73 19.69 "1" "English"
"55" 53.8771713717743 "1" 0.4 3.25 19.27 "0" "English"
"56" 53.5337197040558 "1" 0.47 2.91 19.64 "0" "English"
"57" 61.2340529218364 "1" 1.91 3.47 17.64 "0" "English"
"58" 54.774309021421 "0" 1.57 2.63 18.52 "0" "English"
"59" 61.0114017732853 "1" 3.08 2.65 20.23 "0" "English"
"60" 63.0216502717383 "0" 3.81 3.35 19.04 "0" "English"
"61" 54.6898555313212 "0" 1.25 2.49 18.38 "0" "English"
"62" 59.5920228241146 "0" 2.78 2.43 19.57 "0" "English"
"63" 66.1860459692147 "1" 3.21 3.69 20.23 "1" "English"
"64" 64.0828357716901 "1" 2.67 2.79 21.63 "1" "English"
"65" 56.6982772303194 "1" 1.61 2.65 20.4 "0" "English"
"66" 64.9058165655774 "0" 4.87 3.36 19.75 "0" "English"
"67" 58.4041696014934 "0" 1.09 2.88 20.56 "1" "English"
"68" 57.9667311129992 "1" 2.2 2.55 20.71 "0" "English"
"69" 59.4225804906649 "1" 2.14 2.79 20.4 "0" "English"
"70" 57.2828400926621 "1" 0.44 3.59 19.88 "0" "English"
"71" 60.1239662323167 "1" 2.31 2.81 19.22 "0" "English"
"72" 62.413190671449 "1" 2.67 3.09 18.43 "0" "English"
"73" 68.3084062018485 "1" 2.02 2.54 20.88 "1" "English"
"74" 58.5076354407734 "0" 3.07 2.37 20.14 "0" "English"
"75" 56.3585330939847 "1" 1.01 3.21 20.49 "0" "English"
"76" 56.5991229591618 "0" 2.21 3.02 20.25 "0" "English"
"77" 69.8192654796555 "1" 1.59 2.8 20 "1" "English"
"78" 62.1187882482038 "1" 2.5 2.79 19.78 "0" "English"
"79" 55.204626109343 "0" 0.95 3.14 20.83 "0" "English"
"80" 53.5869912874337 "1" 0.56 2.6 21.24 "0" "English"
"81" 69.8611640471511 "0" 2.68 2.41 20.4 "1" "English"
"82" 60.811230686825 "0" 2.87 3.4 20.78 "0" "English"
"83" 67.5291849116969 "1" 3.98 3.8 19.14 "0" "English"
"84" 61.2493331446253 "1" 2.73 2.66 20.36 "0" "English"
"85" 59.8791945167576 "1" 2.87 2.93 19.88 "0" "English"
"86" 58.8274815733819 "1" 1.79 2.99 19.96 "0" "English"
"87" 72.499492454706 "1" 2.94 2.93 19.91 "1" "English"
"88" 57.679300359262 "1" 2.04 3.64 21.69 "0" "English"
"89" 73.0153981820841 "1" 4.24 3.51 19.78 "1" "English"
"90" 57.9111525834282 "0" 2.09 2.6 20.37 "0" "English"
"91" 62.5526630539922 "1" 3.73 2.42 19.73 "1" "English"
"92" 59.9125603518643 "0" 3.47 2.95 21.76 "0" "English"
"93" 59.7273083764654 "1" 2.47 2.44 20.07 "0" "English"
"94" 59.8870055267672 "1" 2.9 2.81 19.92 "0" "English"
"95" 69.1262823824758 "1" 4.65 3.76 20.15 "0" "English"
"96" 59.215275855002 "1" 2.37 2.3 19.93 "0" "English"
"97" 64.1323262225657 "0" 2.49 2.55 19.29 "1" "English"
"98" 59.0952645126315 "1" 2.03 2.55 20.81 "0" "English"
"99" 67.1715346360079 "1" 4.71 3.26 20.41 "0" "English"
"100" 71.6999259406954 "1" 3.05 3.34 20.39 "1" "English"
"101" 74.2508972747011 "1" 4.47 3.62 20.33 "0" "Spanish"
"102" 66.8316311588071 "0" 3.3 2.33 20.92 "0" "Spanish"
"103" 69.2146561559796 "0" 2.58 3.34 20.49 "1" "Spanish"
"104" 68.6223576787071 "1" 2.35 3.01 18.77 "0" "Spanish"
"105" 68.426138834733 "1" 2.66 3.56 19.91 "0" "Spanish"
"106" 60.6085902561962 "1" 1.62 1.94 21.22 "0" "Spanish"
"107" 66.150763848495 "0" 3.63 3.45 21.31 "0" "Spanish"
