"x" "y" "elevation" "vegetation_type" "birds"
"1" 5144221.95 428721.2 2.115 "O" 6
"2" 5143408.39 429263.58 2.03 "D" 4.3
"3" 5139747.37 432246.63 2.633 "D" 4.9
"4" 5143679.58 427365.27 2.024 "W" 7.6
"5" 5143950.76 428585.61 2.258 "D" 4.1
"6" 5140425.34 427229.68 7.384 "W" 18.6
"7" 5140967.71 429805.95 2.079 "W" 8.5
"8" 5144628.73 426822.9 2.387 "O" 6.6
"9" 5140832.12 431161.88 2.676 "D" 5.8
"10" 5141510.08 432653.41 2.076 "O" 5.7
"11" 5141645.68 426280.53 2.668 "O" 7.4
"12" 5143272.8 426958.49 2.06 "W" 8.3
"13" 5144221.95 431975.44 2.429 "O" 6.1
"14" 5142459.24 427229.68 4.002 "D" 8
"15" 5146662.63 427772.05 2.35 "O" 7.9
"16" 5139476.19 430483.92 2.781 "W" 9.3
"17" 5140832.12 425873.75 2.857 "O" 7.5
"18" 5145442.29 428043.24 2.74 "D" 6.1
"19" 5140289.75 427500.86 2.412 "W" 8.8
"20" 5143001.61 430755.1 2.796 "D" 6.9
"21" 5144086.36 432382.22 2.346 "W" 8.2
"22" 5144899.92 427094.08 3.513 "D" 7.1
"23" 5143272.8 431975.44 2.27 "W" 8.7
"24" 5144764.32 429127.98 2.988 "O" 7.7
"25" 5141781.27 427500.86 3.403 "W" 10.8
"26" 5140967.71 429127.98 2.176 "W" 8.8
"27" 5143001.61 425873.75 2.032 "W" 7.7
"28" 5139340.59 429399.17 2.189 "D" 4.4
"29" 5140154.15 432517.81 2.516 "D" 4.6
"30" 5141916.86 430348.32 2.638 "D" 5.3
"31" 5144086.36 431161.88 2.244 "W" 7.6
"32" 5144221.95 426416.12 2.353 "W" 8.5
"33" 5143543.98 430348.32 2.281 "O" 7
"34" 5145442.29 431704.25 2.175 "O" 6.5
"35" 5146933.81 425466.97 2.302 "W" 9
"36" 5141103.31 424924.59 2.009 "D" 3.4
"37" 5140560.93 429534.76 2.934 "O" 8
"38" 5145577.88 425060.19 2.208 "D" 4.1
"39" 5144221.95 432246.63 2.019 "O" 5.6
"40" 5141510.08 430212.73 2.115 "O" 6.4
"41" 5146527.03 431568.66 2.919 "D" 6
"42" 5144357.54 426822.9 2.133 "D" 4.2
"43" 5142052.46 432789 2.001 "W" 7.6
"44" 5142188.05 425331.37 2.059 "W" 8.5
"45" 5145035.51 429941.54 2.318 "D" 5.1
"46" 5141374.49 426416.12 2.073 "O" 5.9
"47" 5143001.61 431568.66 2.367 "W" 8.4
"48" 5142594.83 426416.12 2.903 "O" 7.6
"49" 5146662.63 424924.59 2.431 "O" 6.6
"50" 5140832.12 427636.46 2.143 "O" 6.8
"51" 5142323.64 429941.54 2.41 "D" 5
"52" 5142866.02 427500.86 2.412 "D" 4.4
"53" 5140154.15 426416.12 2.578 "O" 7.1
"54" 5142594.83 428992.39 2.031 "W" 8.2
"55" 5140560.93 429805.95 2.019 "O" 5.9
"56" 5145849.07 426144.93 2.734 "O" 8.2
"57" 5144086.36 428721.2 2.195 "W" 8.1
"58" 5143001.61 425331.37 2.077 "W" 8
"59" 5145713.47 429941.54 2.198 "D" 4.2
"60" 5144899.92 424924.59 2.83 "D" 5
