"","MU","Mesocosm","Abundance","Biomass","Treatment","Nutrient","Concentration"
"1",1,1,0,0,"NoAlgae","NO3",2.49
"2",1,1,0,0,"NoAlgae","NO3",1.185
"3",1,1,0,0,"NoAlgae","NO3",3.825
"4",2,2,4,0.5,"NoAlgae","NO3",3.045
"5",2,2,4,0.5,"NoAlgae","NO3",2.19
"6",2,2,4,0.5,"NoAlgae","NO3",3.6
"7",3,3,8,1,"NoAlgae","NO3",2.835
"8",3,3,8,1,"NoAlgae","NO3",2.475
"9",3,3,8,1,"NoAlgae","NO3",1.995
"10",4,4,8,1,"NoAlgae","NO3",2.985
"11",4,4,8,1,"NoAlgae","NO3",1.425
"12",4,4,8,1,"NoAlgae","NO3",2.97
"13",5,5,12,1.5,"NoAlgae","NO3",1.56
"14",5,5,12,1.5,"NoAlgae","NO3",1.305
"15",5,5,12,1.5,"NoAlgae","NO3",2.4
"16",6,6,16,2,"NoAlgae","NO3",1.95
"17",6,6,16,2,"NoAlgae","NO3",1.815
"18",6,6,16,2,"NoAlgae","NO3",1.05
"19",7,7,0,0,"Algae","NO3",0.015
"20",7,7,0,0,"Algae","NO3",0
"21",7,7,0,0,"Algae","NO3",0
"22",8,8,4,0.5,"Algae","NO3",0
"23",8,8,4,0.5,"Algae","NO3",0.03
"24",8,8,4,0.5,"Algae","NO3",0.03
"25",9,9,8,1,"Algae","NO3",0.045
"26",9,9,8,1,"Algae","NO3",1.755
"27",9,9,8,1,"Algae","NO3",0
"28",10,10,8,1,"Algae","NO3",0
"29",10,10,8,1,"Algae","NO3",0
"30",10,10,8,1,"Algae","NO3",0.015
"31",11,11,12,1.5,"Algae","NO3",0
"32",11,11,12,1.5,"Algae","NO3",0.075
"33",11,11,12,1.5,"Algae","NO3",0
"34",12,12,16,2,"Algae","NO3",0
"35",12,12,16,2,"Algae","NO3",0.015
"36",12,12,16,2,"Algae","NO3",0.03
"37",13,1,0,0,"NoAlgae","NH4",0.05
"38",13,1,0,0,"NoAlgae","NH4",0.105
"39",13,1,0,0,"NoAlgae","NH4",0.105
"40",14,2,4,0.5,"NoAlgae","NH4",0.79
"41",14,2,4,0.5,"NoAlgae","NH4",0.21
"42",14,2,4,0.5,"NoAlgae","NH4",2.1
"43",15,3,8,1,"NoAlgae","NH4",1.159
"44",15,3,8,1,"NoAlgae","NH4",1.001
"45",15,3,8,1,"NoAlgae","NH4",2.52
"46",16,4,8,1,"NoAlgae","NH4",3.16
"47",16,4,8,1,"NoAlgae","NH4",0.42
"48",16,4,8,1,"NoAlgae","NH4",0.5227
"49",17,5,12,1.5,"NoAlgae","NH4",1.159
"50",17,5,12,1.5,"NoAlgae","NH4",0.42
"51",17,5,12,1.5,"NoAlgae","NH4",0.52
"52",18,6,16,2,"NoAlgae","NH4",1.106
"53",18,6,16,2,"NoAlgae","NH4",0.42
"54",18,6,16,2,"NoAlgae","NH4",3.74
"55",19,7,0,0,"Algae","NH4",13.8
"56",19,7,0,0,"Algae","NH4",24.08
"57",19,7,0,0,"Algae","NH4",10.06
"58",20,8,4,0.5,"Algae","NH4",11.01
"59",20,8,4,0.5,"Algae","NH4",7.53
"60",20,8,4,0.5,"Algae","NH4",17.54
"61",21,9,8,1,"Algae","NH4",18.49
