"","Specimen","YEAR","MONTH","DML","Testisweight"
"1",1017,1991,2,136,0.006
"2",1034,1990,9,144,0.008
"3",1070,1990,12,108,0.008
"4",1070,1990,11,130,0.011
"5",1019,1990,8,121,0.012
"6",1002,1990,10,117,0.012
"7",1001,1991,5,133,0.013
"8",1013,1990,7,105,0.015
"9",1002,1990,7,109,0.017
"10",1006,1990,7,97,0.017
"11",1020,1990,9,144,0.022
"12",1002,1991,6,141,0.023
"13",1039,1990,9,125,0.024
"14",1038,1990,9,140,0.026
"15",1012,1989,12,128,0.027
"16",1037,1990,9,142,0.036
"17",1001,1991,6,139,0.036
"18",1027,1990,7,145,0.043
"19",1003,1990,7,181,0.05
"20",1026,1990,9,163,0.05
"21",1015,1991,5,179,0.053
"22",1050,1990,8,161,0.061
"23",1029,1990,9,190,0.066
"24",1012,1990,9,165,0.069
"25",1014,1991,6,179,0.077
"26",1009,1991,6,171,0.078
"27",1007,1990,7,193,0.084
"28",1030,1991,9,135,0.084
"29",1006,1991,6,157,0.085
"30",1007,1991,6,165,0.086
"31",1007,1991,5,175,0.088
"32",1055,1991,6,184,0.095
"33",1001,1991,9,140,0.102
"34",1010,1991,4,179,0.113
"35",1017,1991,4,214,0.114
"36",1019,1991,10,127,0.129
"37",1020,1990,8,169,0.13
"38",1156,1990,7,155,0.136
"39",1112,1990,7,164,0.14
"40",1013,1991,1,203,0.152
"41",1010,1991,6,176,0.154
"42",1015,1991,6,204,0.156
"43",1041,1991,9,148,0.16
"44",1019,1990,9,190,0.161
"45",1052,1990,7,208,0.165
"46",1031,1990,7,195,0.166
"47",1028,1990,7,195,0.174
"48",1028,1990,7,147,0.181
"49",1016,1991,6,202,0.187
"50",1017,1991,6,191,0.195
"51",1008,1990,8,218,0.206
"52",1028,1990,9,189,0.21
"53",1014,1990,11,159,0.21
"54",1005,1991,6,153,0.21
"55",1011,1991,6,182,0.214
"56",1018,1990,8,250,0.221
"57",1015,1990,8,185,0.224
"58",1022,1991,6,209,0.225
"59",1050,1990,7,226,0.226
"60",1015,1990,10,174,0.227
"61",1013,1991,6,175,0.237
"62",1024,1991,6,212,0.243
"63",1023,1991,10,165,0.246
"64",1019,1991,10,194,0.248
"65",1125,1990,7,208,0.249
"66",1042,1990,7,248,0.254
"67",1058,1990,8,238,0.255
"68",1021,1991,6,204,0.256
"69",1117,1990,7,241,0.27
"70",1026,1991,6,229,0.281
"71",1047,1990,8,235,0.283
"72",1009,1990,8,244,0.285
"73",1158,1990,7,205,0.286
"74",1005,1990,8,246,0.288
"75",1057,1991,6,201,0.29
"76",1007,1990,9,165,0.297
"77",1046,1990,8,195,0.298
"78",1029,1991,10,136,0.301
"79",1009,1990,9,173,0.302
"80",1051,1990,7,225,0.309
"81",1029,1991,6,234,0.31
"82",1001,1990,10,231,0.315
