,CH > IT_NORD,IT_NORD > CH,FR > IT_NORD,IT_NORD > FR,SI > IT_NORD,IT_NORD > SI,AT > IT_NORD,IT_NORD > AT,IT_CNOR > IT_NORD,IT_NORD > IT_CNOR,AT > IT,IT > AT,FR > IT,IT > FR,GR > IT,IT > GR,ME > IT,IT > ME,SI > IT,IT > SI,CH > IT,IT > CH,GR > IT_SUD,IT_SUD > GR,IT_CSUD > IT_SUD,IT_SUD > IT_CSUD,IT_CALA > IT_SUD,IT_SUD > IT_CALA,IT_CNOR > IT_CSUD,IT_CSUD > IT_CNOR,IT_SARD > IT_CSUD,IT_CSUD > IT_SARD,IT_CALA > IT_SICI,IT_SICI > IT_CALA
2023-01-01 00:00:00+01:00,1411.0,1910.0,3738.0,1660.0,641.0,680.0,305.0,145.0,3645.0,3583.0,305.0,145.0,3738.0,1660.0,500.0,500.0,600.0,600.0,641.0,680.0,1411.0,1910.0,500.0,500.0,3163.0,5594.0,2350.0,1601.0,3096.0,3892.0,870.0,720.0,1404.0,1533.0
2023-01-01 01:00:00+01:00,1411.0,1910.0,3738.0,1660.0,641.0,680.0,305.0,145.0,3645.0,3583.0,305.0,145.0,3738.0,1660.0,500.0,500.0,600.0,600.0,641.0,680.0,1411.0,1910.0,500.0,500.0,3163.0,5594.0,2350.0,1601.0,3096.0,3892.0,870.0,720.0,1404.0,1533.0
2023-01-01 02:00:00+01:00,1411.0,1910.0,3738.0,1660.0,641.0,680.0,305.0,145.0,3645.0,3583.0,305.0,145.0,3738.0,1660.0,500.0,500.0,600.0,600.0,641.0,680.0,1411.0,1910.0,500.0,500.0,3163.0,5594.0,2350.0,1601.0,3096.0,3892.0,870.0,720.0,1404.0,1533.0
2023-01-01 03:00:00+01:00,1271.0,1910.0,3738.0,1660.0,641.0,680.0,305.0,145.0,3765.0,3480.0,305.0,145.0,3738.0,1660.0,500.0,500.0,600.0,600.0,641.0,680.0,1271.0,1910.0,500.0,500.0,3163.0,5594.0,2350.0,1568.0,2855.0,3892.0,870.0,720.0,1361.0,1550.0
2023-01-01 04:00:00+01:00,1177.0,1910.0,3738.0,1660.0,641.0,680.0,305.0,145.0,3765.0,3480.0,305.0,145.0,3738.0,1660.0,500.0,500.0,600.0,600.0,641.0,680.0,1177.0,1910.0,500.0,500.0,3163.0,5594.0,2350.0,1568.0,2855.0,3892.0,870.0,720.0,1361.0,1550.0
2023-01-01 05:00:00+01:00,1177.0,1910.0,3738.0,1660.0,641.0,680.0,305.0,145.0,3765.0,3480.0,305.0,145.0,3738.0,1660.0,500.0,500.0,600.0,600.0,641.0,680.0,1177.0,1910.0,500.0,500.0,3163.0,5594.0,2350.0,1568.0,2955.0,3892.0,870.0,720.0,1361.0,1550.0
2023-01-01 06:00:00+01:00,1411.0,1910.0,3738.0,1660.0,641.0,680.0,305.0,145.0,3537.0,3298.0,305.0,145.0,3738.0,1660.0,500.0,500.0,600.0,600.0,641.0,680.0,1411.0,1910.0,500.0,500.0,3602.0,5456.0,2350.0,1642.0,2843.0,3478.0,870.0,720.0,1442.0,1538.0
2023-01-01 07:00:00+01:00,1549.0,1910.0,3738.0,1660.0,641.0,680.0,305.0,145.0,3537.0,3298.0,305.0,145.0,3738.0,1660.0,500.0,500.0,600.0,600.0,641.0,680.0,1549.0,1910.0,500.0,500.0,3602.0,5456.0,2350.0,1642.0,2843.0,3478.0,870.0,720.0,1442.0,1538.0
2023-01-01 08:00:00+01:00,1549.0,1910.0,3738.0,1660.0,641.0,680.0,305.0,145.0,3537.0,3298.0,305.0,145.0,3738.0,1660.0,500.0,500.0,600.0,600.0,641.0,680.0,1549.0,1910.0,500.0,500.0,3602.0,5456.0,2350.0,1642.0,2843.0,3478.0,870.0,720.0,1442.0,1538.0
2023-01-01 09:00:00+01:00,1549.0,1910.0,3738.0,1660.0,641.0,680.0,305.0,145.0,3748.0,3387.0,305.0,145.0,3738.0,1660.0,500.0,500.0,600.0,600.0,641.0,680.0,1549.0,1910.0,500.0,500.0,3893.0,5270.0,2350.0,1477.0,3022.0,3478.0,870.0,720.0,1427.0,1529.0
