,ECe Solar ITA,ECe Wind ITA,ECo Solar ITA,ECo Wind ITA,GFSe Solar ITA,GFSe Wind ITA,GFSo Solar ITA,GFSo Wind ITA,Solar CALA,Solar CNOR,Solar CSUD,Solar NORD,Solar SARD,Solar SICI,Solar SUD,Wind CALA,Wind CNOR,Wind CSUD,Wind ITA,Wind NORD,Wind SARD,Wind SICI,Wind SUD
2023-01-01 00:00:00,0.0,217.237578431373,0.0,414.4651,0.0,584.136977419355,0.0,528.565,0.0,0.0,0.0,0.0,0.0,0.0,0.0,326.432,47.835,636.772,3127.238,21.371,277.507,586.296,1231.026
2023-01-01 01:00:00,0.0,258.942117647059,0.0,434.8042,0.0,644.132658064516,0.0,533.8854,0.0,0.0,0.0,0.0,0.0,0.0,0.0,328.432,47.843,639.569,3135.806,21.972,277.756,583.534,1236.701
2023-01-01 02:00:00,0.0,232.645384313725,0.0,416.6655,0.0,644.112583870968,0.0,563.509,0.0,0.0,0.0,0.0,0.0,0.0,0.0,327.285,47.68,639.625,3126.708,22.327,275.132,575.989,1238.67
2023-01-01 03:00:00,0.0,223.225456862745,0.0,413.591,0.0,647.808970967742,0.0,595.0065,0.0,0.0,0.0,0.0,0.0,0.0,0.0,324.28,47.387,637.829,3106.304,22.324,270.57,564.864,1239.051
2023-01-01 04:00:00,0.0,224.787717647059,0.0,418.7922,0.0,652.151480645161,0.0,628.3012,0.0,0.0,0.0,0.0,0.0,0.0,0.0,320.101,46.981,634.811,3078.065,21.967,265.01,551.844,1237.351
2023-01-01 05:00:00,0.0,227.117229411765,0.0,433.4189,0.0,655.631961290323,0.0,639.9891,0.0,0.0,0.0,0.0,0.0,0.0,0.0,315.881,46.479,631.77,3048.117,21.35,259.766,539.429,1233.442
2023-01-01 06:00:00,0.0,242.085778431372,0.0,478.6385,0.0,658.72814516129,0.0,655.9227,0.0,0.0,0.0,0.0,0.0,0.0,0.0,312.89,45.895,630.13,3023.694,20.63,256.188,530.332,1227.631
2023-01-01 07:00:00,116.0,270.33901372549,127.0,556.5532,127.0,663.824103225806,128.0,673.2246,0.0,0.0,0.0,0.0,0.0,0.0,0.0,312.19,45.245,631.116,3011.255,19.982,255.297,526.793,1220.632
2023-01-01 08:00:00,1300.0,275.495762745098,1313.0,513.9024,1461.0,634.645941935484,1440.0,536.6786,27.0,80.0,151.0,243.0,40.0,87.0,186.0,314.331,44.556,635.372,3015.05,19.561,257.517,529.992,1213.72
2023-01-01 09:00:00,2816.0,302.036217647059,2777.0,497.1634,3219.0,619.577516129032,3124.0,455.3279,77.0,229.0,432.0,695.0,115.0,249.0,532.0,319.18,43.866,642.724,3034.852,19.454,262.539,539.72,1207.369
