"Employee" "AvgExp" "Age" "Income" "OwnsRents"
1 1603 36 36 1
2 1446 51 40 0
3 1276 47 38 0
4 1416 35 32 1
5 1793 58 52 1
6 1705 58 46 0
7 1602 34 44 0
8 2039 55 54 1
9 1490 44 42 0
10 1033 46 33 0
11 1393 47 40 0
12 1750 37 39 1
13 1408 53 42 0
14 1361 35 43 1
15 1744 42 47 0
16 2242 56 48 1
17 1833 59 46 1
18 1201 37 32 0
19 2486 43 54 1
20 1311 32 42 1
21 1919 50 36 1
22 1326 42 34 0
23 1585 55 43 0
24 930 35 39 1
25 1308 40 36 0
26 2593 45 55 1
27 1721 34 48 0
28 3311 41 55 1
29 1414 59 39 0
30 1239 34 36 0
31 1384 30 40 0
32 442 35 45 1
33 1604 54 50 0
34 1272 56 45 1
35 2260 45 44 1
36 1668 49 49 0
37 1687 55 49 0
38 1457 39 42 0
39 2241 50 36 1
40 1274 35 38 0
41 1956 59 53 0
42 1358 39 39 0
43 1326 33 39 0
44 1210 35 37 1
45 3609 58 50 1
46 1515 54 44 0
47 2126 59 47 1
48 927 40 28 0
49 1066 45 42 1
50 1738 54 50 0
51 1296 30 38 0
52 2133 30 55 0
53 521 51 32 1
54 1864 58 54 0
55 1557 38 44 1
56 2153 54 57 0
57 1971 54 43 1
58 1414 60 39 1
59 1721 48 46 0
60 2323 51 45 1
61 1614 53 36 1
62 1408 57 42 0
63 1434 49 41 0
64 1633 38 49 0
65 1084 56 31 0
66 1780 43 50 0
67 1504 42 33 1
68 1183 44 35 0
69 1274 37 43 0
70 1010 32 46 1
71 1474 38 44 0
72 1351 39 37 0
73 1195 31 36 1
74 906 36 33 1
75 1489 36 49 0
76 1450 53 40 0
77 1054 39 30 1
78 1649 56 48 0
79 1609 42 49 0
80 1792 47 47 1
81 1360 41 42 0
82 1502 50 44 0
83 1178 31 36 0
84 1598 42 43 0
85 1637 36 49 0
86 1760 56 47 0
87 1475 59 43 0
88 1649 40 45 0
89 833 52 51 1
90 1270 40 34 0
91 1901 59 53 0
92 1693 42 45 0
93 1716 41 37 1
94 1074 47 31 0
95 1867 44 41 1
96 1070 36 33 0
97 1490 43 42 0
98 1526 33 46 0
99 1591 33 51 1
100 1129 43 35 0
101 1863 36 36 1
102 1657 43 46 1
103 1442 59 43 0
104 861 55 30 1
105 1658 39 43 1
106 1206 48 35 1
107 1487 57 45 0
108 952 44 32 0
109 1572 34 45 0
110 1385 34 43 0
111 1748 31 48 0
112 1428 52 38 1
113 1161 41 34 0
114 1386 47 42 0
115 2165 55 44 1
116 1479 54 49 0
117 1305 56 33 1
118 1686 33 49 0
119 1377 59 41 0
120 1140 47 36 1
121 1203 31 36 0
122 1615 37 42 0
123 1170 59 36 0
124 1339 57 41 0
125 1866 37 47 0
126 1677 53 39 1
127 1670 47 44 1
128 915 39 27 0
129 1329 51 37 1
130 1593 40 46 0
131 1387 36 41 0
132 1910 58 41 1
133 1158 31 32 0
134 1450 59 42 0
135 1316 39 38 1
136 1711 50 46 0
137 744 46 46 1
138 1518 55 41 0
139 2249 36 41 1
140 1856 42 50 0
141 787 35 43 1
142 2136 39 59 0
143 1162 49 36 0
144 1331 39 39 0
145 1146 43 42 1
146 1066 52 37 0
147 1287 50 39 0
148 938 39 45 1
149 1133 44 33 0
150 1325 39 40 0
