"x" "y" "PM10" "Area"
"1" 518131.89 5031642.13 29.85 0
"2" 516044.933 5035120.391 29.87 0
"3" 517668.122 5030250.826 30.16 0
"4" 511523.194 5030250.826 29.87 0
"5" 518595.658 5033960.971 30.17 0
"6" 517320.296 5031294.304 30.11 0
"7" 517088.412 5034888.507 68.22 1
"8" 511639.136 5035584.159 30.06 0
"9" 511523.194 5034540.681 29.81 0
"10" 513842.035 5030714.594 30.08 0
"11" 517552.18 5035120.391 106.58 2
"12" 517784.064 5033265.319 29.99 0
"13" 512102.904 5030250.826 29.94 0
"14" 511291.31 5035584.159 29.98 0
"15" 516508.701 5030134.884 30.09 0
"16" 515581.165 5037091.406 30.19 0
"17" 511986.962 5037091.406 106.43 2
"18" 513957.977 5032453.725 30.1 0
"19" 515117.397 5032453.725 68.28 1
"20" 518015.948 5032221.841 30.15 0
"21" 515813.049 5036047.928 29.77 0
"22" 513378.267 5036975.464 30.02 0
"23" 517900.006 5030482.71 68.25 1
"24" 512218.846 5036975.464 30.38 0
"25" 511407.252 5033381.261 29.99 0
"26" 516856.528 5036047.928 29.89 0
"27" 515813.049 5032801.551 29.81 0
"28" 515117.397 5037671.116 29.91 0
"29" 511986.962 5035700.101 30.19 0
"30" 512102.904 5036163.87 30.17 0
"31" 512218.846 5033845.029 29.64 0
"32" 511986.962 5036859.522 30.38 0
"33" 510711.6 5033497.203 29.78 0
"34" 513378.267 5032801.551 30.2 0
"35" 512798.557 5034308.797 29.86 0
"36" 511175.368 5031642.13 30.05 0
"37" 517320.296 5031178.362 30.18 0
"38" 515001.455 5033845.029 29.66 0
"39" 517204.354 5034540.681 29.84 0
"40" 514537.687 5036395.754 29.96 0
"41" 512914.499 5037671.116 30.09 0
"42" 511639.136 5037671.116 68.23 1
"43" 517088.412 5031989.957 29.9 0
"44" 513957.977 5030018.942 29.83 0
"45" 517204.354 5032221.841 29.89 0
"46" 518015.948 5032105.899 30.2 0
"47" 514885.513 5031294.304 29.82 0
"48" 514421.745 5034888.507 106.61 2
"49" 518479.716 5035816.043 106.47 2
"50" 511871.02 5031526.188 29.92 0
"51" 516972.47 5035584.159 106.48 2
"52" 513030.441 5030018.942 68.27 1
"53" 510711.6 5036975.464 29.9 0
"54" 516276.817 5032801.551 29.89 0
"55" 516044.933 5032337.783 29.88 0
"56" 512682.614 5037091.406 30.08 0
"57" 511755.078 5035236.333 29.82 0
"58" 515813.049 5031758.072 29.96 0
"59" 516044.933 5035236.333 29.99 0
