"id_storage_centre" "rad_less_15_city" "size" "time" "growth" "costs" "costs0"
"1" 0 378.87743160349 1 1 561.417128904997 47
"2" 1 315.644914276788 1 0 541.257525823155 75
"3" 0 249.052890999233 1 0 277.108612475629 67
"4" 0 280.615968139909 1 1 415.176754888378 115
"5" 1 274.832391268412 1 0 505.243385658165 130
"6" 0 312.708771117627 1 1 454.805127078772 83
"7" 1 216.089754865114 1 1 386.394661071905 78
"8" 0 311.884983057167 1 0 420.011373050556 86
"9" 0 280.414310661877 1 0 370.182833774727 104
"10" 1 227.21546624673 1 -1 313.639876508204 57
"11" 0 284.507857751727 1 0 392.37028653446 123
"12" 1 232.109331175152 1 1 397.281932583914 54
"13" 0 314.552567317547 1 0 425.154004601701 86
"14" 1 309.027826414305 1 -1 491.040654663858 75
"15" 1 334.540405009674 1 0 550.638418940907 39
"16" 0 399.860631447622 1 0 635.474303825703 136
"17" 0 230.629643787288 1 0 236.132453776919 63
"18" 0 259.623658924497 1 1 315.865515070807 40
"19" 1 301.419697587519 1 0 519.431290313057 80
"20" 0 377.212784518329 1 -1 573.854085671131 167
"21" 0 418.680491869144 1 0 646.034393760395 106
"22" 1 320.22762483264 1 0 548.976595026057 76
"23" 1 243.845809444019 1 0 396.192584666641 71
"24" 0 220.377498663727 1 0 198.596005400578 39
"25" 0 343.653701831689 1 -1 430.627190472634 71
"26" 1 232.242386143353 1 1 417.148723811285 78
"27" 1 268.427737659324 1 -1 390.122928332859 49
"28" 0 298.866452845851 1 -1 383.732688404907 120
"29" 1 306.218018046093 1 0 544.501585484136 105
"30" 1 288.884966797161 1 1 560.098428501473 114
"31" 1 220.736634769364 1 1 372.518397663961 48
"32" 0 392.748214578221 1 -1 574.181071646052 127
"33" 0 232.305351390452 1 0 258.081868004558 85
"34" 1 383.716473938547 1 -1 639.020150127273 70
"35" 0 367.781457143685 1 1 580.010470711017 102
"36" 1 213.842219393021 1 0 329.067188126188 61
"37" 1 432.058637033879 1 0 845.633566979753 165
"38" 0 387.058118088649 1 0 558.849280949394 71
"39" 1 242.999778028121 1 1 412.190272343356 48
"40" 0 209.690382896167 1 -1 161.284875008466 66
"1" 0 378.87743160349 2 1 621.826020852357 47
"2" 1 315.644914276788 2 0 570.958555684498 75
"3" 0 249.052890999233 2 0 301.766518965935 67
"4" 0 280.615968139909 2 1 481.8222547571 115
"5" 1 274.832391268412 2 0 529.922115099524 130
"6" 0 312.708771117627 2 1 519.277042729739 83
"7" 1 216.089754865114 2 1 445.525206539865 78
"8" 0 311.884983057167 2 0 445.094588826644 86
"9" 0 280.414310661877 2 0 389.364245506604 104
"10" 1 227.21546624673 2 -1 301.21615890739 57
"11" 0 284.507857751727 2 0 421.226190463689 123
"12" 1 232.109331175152 2 1 464.011466489118 54
"13" 0 314.552567317547 2 0 440.274813002023 86
"14" 1 309.027826414305 2 -1 480.993326278705 75
"15" 1 334.540405009674 2 0 576.632744338071 39
"16" 0 399.860631447622 2 0 654.486783261898 136
"17" 0 230.629643787288 2 0 262.655198024553 63
"18" 0 259.623658924497 2 1 380.924486941148 40
"19" 1 301.419697587519 2 0 544.672950421579 80
"20" 0 377.212784518329 2 -1 562.970142787267 167
"21" 0 418.680491869144 2 0 680.490707968846 106
"22" 1 320.22762483264 2 0 583.609169670072 76
"23" 1 243.845809444019 2 0 418.40672192713 71
"24" 0 220.377498663727 2 0 223.118151406544 39
"25" 0 343.653701831689 2 -1 423.130401713518 71
"26" 1 232.242386143353 2 1 476.909685311864 78
"27" 1 268.427737659324 2 -1 378.926649486342 49
"28" 0 298.866452845851 2 -1 368.868381313372 120
"29" 1 306.218018046093 2 0 573.754026105851 105
"30" 1 288.884966797161 2 1 613.53817229536 114
"31" 1 220.736634769364 2 1 434.528519421415 48
"32" 0 392.748214578221 2 -1 558.494264822544 127
"33" 0 232.305351390452 2 0 279.19242574481 85
"34" 1 383.716473938547 2 -1 624.729269396561 70
"35" 0 367.781457143685 2 1 647.016283246464 102
"36" 1 213.842219393021 2 0 356.892040367799 61
"37" 1 432.058637033879 2 0 878.64562203533 165
"38" 0 387.058118088649 2 0 581.657870214277 71
"39" 1 242.999778028121 2 1 481.336739136498 48
"40" 0 209.690382896167 2 -1 144.374111332345 66
"1" 0 378.87743160349 3 1 708.533075619466 47
"2" 1 315.644914276788 3 0 597.735289774711 75
"3" 0 249.052890999233 3 0 328.038215149894 67
"4" 0 280.615968139909 3 1 553.687103627453 115
"5" 1 274.832391268412 3 0 563.028407854614 130
"6" 0 312.708771117627 3 1 579.34152754024 83
"7" 1 216.089754865114 3 1 494.140758748998 78
"8" 0 311.884983057167 3 0 470.388636629748 86
"9" 0 280.414310661877 3 0 420.378185712496 104
"10" 1 227.21546624673 3 -1 286.805346797222 57
"11" 0 284.507857751727 3 0 445.316748678924 123
"12" 1 232.109331175152 3 1 531.732206849846 54
"13" 0 314.552567317547 3 0 490.262353923273 86
"14" 1 309.027826414305 3 -1 467.16639332444 75
"15" 1 334.540405009674 3 0 607.117696565271 39
"16" 0 399.860631447622 3 0 687.526122304439 136
"17" 0 230.629643787288 3 0 282.248710480418 63
"18" 0 259.623658924497 3 1 432.625197928483 40
"19" 1 301.419697587519 3 0 565.851750996718 80
"20" 0 377.212784518329 3 -1 555.753808036649 167
"21" 0 418.680491869144 3 0 685.25044872345 106
"22" 1 320.22762483264 3 0 604.687052107773 76
"23" 1 243.845809444019 3 0 445.594608306651 71
"24" 0 220.377498663727 3 0 244.272860997118 39
"25" 0 343.653701831689 3 -1 401.866131517823 71
"26" 1 232.242386143353 3 1 538.785012089042 78
"27" 1 268.427737659324 3 -1 369.372224552938 49
"28" 0 298.866452845851 3 -1 356.407683615734 120
"29" 1 306.218018046093 3 0 597.786772999449 105
"30" 1 288.884966797161 3 1 695.923832018695 114
"31" 1 220.736634769364 3 1 484.952089030925 48
"32" 0 392.748214578221 3 -1 542.727777268147 127
"33" 0 232.305351390452 3 0 309.739737264822 85
"34" 1 383.716473938547 3 -1 612.525030668439 70
"35" 0 367.781457143685 3 1 708.332733003691 102
"36" 1 213.842219393021 3 0 393.670808186916 61
"37" 1 432.058637033879 3 0 905.524523798983 165
"38" 0 387.058118088649 3 0 608.284226646033 71
"39" 1 242.999778028121 3 1 546.016155946301 48
"40" 0 209.690382896167 3 -1 139.125211453941 66
"1" 0 378.87743160349 4 1 737.030632748287 47
"2" 1 315.644914276788 4 0 618.702800255754 75
"3" 0 249.052890999233 4 0 354.384288347582 67
"4" 0 280.615968139909 4 1 607.484665237783 115
"5" 1 274.832391268412 4 0 586.318677086869 130
"6" 0 312.708771117627 4 1 643.524474354314 83
"7" 1 216.089754865114 4 1 581.486832320291 78
"8" 0 311.884983057167 4 0 490.68507840122 86
"9" 0 280.414310661877 4 0 453.964431683409 104
"10" 1 227.21546624673 4 -1 277.22099090495 57
"11" 0 284.507857751727 4 0 468.138990484223 123
"12" 1 232.109331175152 4 1 596.108762809566 54
"13" 0 314.552567317547 4 0 507.17355991162 86
"14" 1 309.027826414305 4 -1 457.151631871193 75
"15" 1 334.540405009674 4 0 627.170110621115 39
"16" 0 399.860631447622 4 0 708.885624042261 136
"17" 0 230.629643787288 4 0 311.460190565563 63
"18" 0 259.623658924497 4 1 512.524286349301 40
"19" 1 301.419697587519 4 0 596.954116058257 80
"20" 0 377.212784518329 4 -1 542.127599264826 167
"21" 0 418.680491869144 4 0 739.053860211274 106
"22" 1 320.22762483264 4 0 629.256432421155 76
"23" 1 243.845809444019 4 0 479.197076180674 71
"24" 0 220.377498663727 4 0 279.309691339653 39
"25" 0 343.653701831689 4 -1 396.947013629339 71
"26" 1 232.242386143353 4 1 597.75703971387 78
"27" 1 268.427737659324 4 -1 361.418162858855 49
"28" 0 298.866452845851 4 -1 349.264949237335 120
"29" 1 306.218018046093 4 0 632.926882298114 105
"30" 1 288.884966797161 4 1 745.732362418102 114
"31" 1 220.736634769364 4 1 561.033585347613 48
"32" 0 392.748214578221 4 -1 539.845930794109 127
"33" 0 232.305351390452 4 0 339.450551302067 85
"34" 1 383.716473938547 4 -1 601.763229875863 70
"35" 0 367.781457143685 4 1 759.668841673458 102
"36" 1 213.842219393021 4 0 401.17196186428 61
"37" 1 432.058637033879 4 0 928.475285540031 165
"38" 0 387.058118088649 4 0 635.466775738008 71
"39" 1 242.999778028121 4 1 574.592867840926 48
"40" 0 209.690382896167 4 -1 124.269948339827 66
"1" 0 378.87743160349 5 1 790.435822153467 47
"2" 1 315.644914276788 5 0 648.232920492223 75
"3" 0 249.052890999233 5 0 387.075178011583 67
"4" 0 280.615968139909 5 1 666.76692977755 115
"5" 1 274.832391268412 5 0 598.318388887875 130
"6" 0 312.708771117627 5 1 686.785883714528 83
"7" 1 216.089754865114 5 1 623.23868125914 78
"8" 0 311.884983057167 5 0 535.183818740187 86
"9" 0 280.414310661877 5 0 489.11517850221 104
"10" 1 227.21546624673 5 -1 264.594405906465 57
"11" 0 284.507857751727 5 0 498.976198018779 123
"12" 1 232.109331175152 5 1 676.908758397019 54
"13" 0 314.552567317547 5 0 540.266861394161 86
"14" 1 309.027826414305 5 -1 441.846852065035 75
"15" 1 334.540405009674 5 0 662.302723899005 39
"16" 0 399.860631447622 5 0 736.370824223558 136
"17" 0 230.629643787288 5 0 339.277889819716 63
"18" 0 259.623658924497 5 1 565.609380189391 40
"19" 1 301.419697587519 5 0 613.949821192577 80
"20" 0 377.212784518329 5 -1 532.774016299162 167
"21" 0 418.680491869144 5 0 756.33337589803 106
"22" 1 320.22762483264 5 0 654.36370161752 76
"23" 1 243.845809444019 5 0 495.964023232522 71
"24" 0 220.377498663727 5 0 290.503415968721 39
"25" 0 343.653701831689 5 -1 388.12578542342 71
"26" 1 232.242386143353 5 1 672.593845874683 78
"27" 1 268.427737659324 5 -1 340.255781193925 49
"28" 0 298.866452845851 5 -1 334.487528354258 120
"29" 1 306.218018046093 5 0 649.785502517522 105
"30" 1 288.884966797161 5 1 819.186232786935 114
"31" 1 220.736634769364 5 1 629.854815717764 48
"32" 0 392.748214578221 5 -1 524.855961891416 127
"33" 0 232.305351390452 5 0 363.784423063308 85
"34" 1 383.716473938547 5 -1 593.358641329011 70
"35" 0 367.781457143685 5 1 817.450497697087 102
"36" 1 213.842219393021 5 0 424.217660207398 61
"37" 1 432.058637033879 5 0 956.561617167872 165
"38" 0 387.058118088649 5 0 651.038371796158 71
"39" 1 242.999778028121 5 1 691.956716752616 48
"40" 0 209.690382896167 5 -1 112.545816828909 66
