"x" "y" "sandy" "distance" "yield"
"1" 623981.71 4811022.48 "no" 691.27 131.96
"2" 623633.88 4811587.7 "yes" 564.57 97.92
"3" 623633.88 4810848.57 "yes" 439.09 99.38
"4" 623590.4 4810500.74 "yes" 695.99 94.63
"5" 623416.49 4811022.48 "yes" 161.03 101.95
"6" 623981.71 4810413.79 "no" 991.38 142.13
"7" 624155.62 4812196.39 "yes" 1365.35 123.92
"8" 624286.06 4811587.7 "yes" 1086.48 124.2
"9" 624112.14 4810283.35 "yes" 1175.79 143.4
"10" 625590.4 4812152.92 "no" 2507.87 186.32
"11" 624242.58 4810935.52 "yes" 963.69 129.86
"12" 625199.1 4811979 "yes" 2079.66 114.47
"13" 624981.71 4812718.13 "yes" 2311.55 128.71
"14" 624286.06 4812196.39 "yes" 1450.72 132.79
"15" 623242.58 4811761.61 "yes" 631.23 96.09
"16" 624112.14 4810718.13 "yes" 912.55 130.68
"17" 624764.32 4812022.48 "yes" 1713.91 139.27
"18" 625242.58 4813022.48 "yes" 2710.46 150.65
"19" 624677.36 4812587.7 "no" 2003.82 124.63
"20" 624025.19 4810500.74 "yes" 962.58 116.5
"21" 624199.1 4811500.74 "no" 972.05 139.58
"22" 624677.36 4810413.79 "no" 1554.4 154.37
"23" 623981.71 4810761.61 "yes" 776.88 82.81
"24" 623373.01 4812848.57 "no" 1717.21 120.04
"25" 623807.79 4812152.92 "yes" 1139.69 83.02
"26" 623938.23 4812370.31 "yes" 1392.58 105.29
"27" 625938.23 4811979 "yes" 2771.22 177.21
"28" 626112.14 4810718.13 "yes" 2843.24 160.72
"29" 625286.06 4810979 "yes" 1992.69 102.37
"30" 623590.4 4812457.26 "no" 1355.94 126.81
"31" 623633.88 4812892.05 "no" 1790.64 138.12
"32" 625242.58 4811239.87 "no" 1946.19 166.44
"33" 623459.97 4812805.09 "no" 1679.85 122.11
"34" 625894.75 4812761.61 "yes" 3064.12 110.8
"35" 625112.14 4810674.66 "yes" 1869.85 146.33
"36" 624807.79 4812892.05 "yes" 2317.31 114.76
"37" 625286.06 4811283.35 "yes" 1992.42 158.71
"38" 625025.19 4812631.18 "no" 2285.46 155.93
"39" 623894.75 4811848.57 "no" 930.94 111.28
"40" 624677.36 4810109.44 "no" 1716.55 155.31
"41" 626068.66 4812500.74 "yes" 3088.71 158.92
"42" 624199.1 4810848.57 "yes" 943.65 115.83
"43" 625677.36 4812065.96 "yes" 2554.52 137.79
"44" 625633.88 4811065.96 "yes" 2335.52 124.95
"45" 623981.71 4811196.39 "no" 685.33 131.92
"46" 624633.88 4810979 "yes" 1343.41 146.39
"47" 624894.75 4811457.26 "no" 1628.06 107.48
"48" 624503.45 4811761.61 "no" 1358.36 144.14
"49" 625199.1 4810761.61 "yes" 1935.73 119.57
"50" 623329.53 4811979 "yes" 846.6 81.58
"51" 624894.75 4810152.92 "no" 1872.39 159.74
"52" 625677.36 4812239.87 "yes" 2623.04 142.04
"53" 623590.4 4812718.13 "no" 1611.7 132.7
"54" 624720.84 4812674.66 "yes" 2097.04 116.33
"55" 623807.79 4811587.7 "no" 682.16 90.15
"56" 624633.88 4810892.05 "yes" 1356.13 125.26
"57" 623329.53 4812587.7 "yes" 1455.07 93.16
"58" 626068.66 4811848.57 "yes" 2860.31 157.57
"59" 624894.75 4812196.39 "no" 1917.37 142.83
"60" 624416.49 4812631.18 "yes" 1868.9 117.63
