"productivity" "hours" "education" "experience" "location"
7.71 47 "PhD" 35 "location M"
6.14 46 "HighSchool" 37 "location I"
5.83 44 "Degree" 29 "location T"
5.8 43 "HighSchool" 18 "location J"
7.34 43 "Degree" 21 "location N"
6.78 46 "Degree" 20 "location A"
6.77 40 "Degree" 29 "location I"
5.84 39 "HighSchool" 27 "location S"
6.71 45 "Degree" 34 "location D"
7.57 41 "Degree" 18 "location A"
6.52 45 "Degree" 25 "location M"
5.75 44 "HighSchool" 24 "location T"
6.05 41 "HighSchool" 25 "location E"
7.53 48 "Degree" 23 "location D"
6.98 48 "Degree" 19 "location R"
6.88 46 "Degree" 21 "location F"
7.4 44 "PhD" 16 "location E"
5.99 43 "Degree" 24 "location R"
6.19 43 "HighSchool" 23 "location T"
7.86 43 "PhD" 29 "location H"
5.63 44 "HighSchool" 30 "location B"
4.96 42 "HighSchool" 27 "location C"
6.93 42 "Degree" 28 "location K"
6.75 49 "Degree" 30 "location N"
5.86 39 "HighSchool" 22 "location F"
6.88 37 "Degree" 26 "location I"
8.27 41 "PhD" 24 "location A"
7.14 43 "Degree" 23 "location Q"
6.11 45 "HighSchool" 13 "location F"
6.96 49 "Degree" 27 "location H"
6.55 42 "Degree" 29 "location G"
6.09 45 "Degree" 33 "location R"
6.23 45 "HighSchool" 22 "location L"
6.97 41 "HighSchool" 26 "location I"
5.02 41 "HighSchool" 30 "location P"
5.51 34 "Degree" 22 "location B"
6.88 45 "HighSchool" 28 "location J"
5.29 44 "HighSchool" 24 "location C"
4.43 38 "HighSchool" 20 "location G"
5.06 42 "HighSchool" 30 "location L"
5.34 44 "HighSchool" 26 "location R"
8.41 42 "PhD" 27 "location F"
6.04 42 "Degree" 23 "location A"
6.67 45 "Degree" 28 "location Q"
7.09 44 "Degree" 24 "location E"
5.71 43 "HighSchool" 11 "location A"
5.93 49 "HighSchool" 21 "location K"
6.99 41 "HighSchool" 35 "location E"
5.67 40 "HighSchool" 27 "location J"
6.23 42 "Degree" 27 "location N"
7.07 48 "Degree" 25 "location P"
6.61 42 "Degree" 35 "location B"
6.09 46 "HighSchool" 28 "location L"
6.17 46 "HighSchool" 18 "location O"
6.85 47 "Degree" 30 "location M"
6.57 43 "Degree" 28 "location E"
6.54 43 "Degree" 15 "location B"
8.2 44 "PhD" 18 "location T"
7.51 47 "Degree" 32 "location K"
6.84 40 "PhD" 29 "location D"
6.73 43 "Degree" 22 "location D"
5.45 40 "HighSchool" 31 "location S"
5.45 40 "HighSchool" 30 "location A"
5.73 40 "PhD" 17 "location M"
5.36 44 "HighSchool" 22 "location H"
5.3 43 "HighSchool" 14 "location K"
7.16 47 "Degree" 28 "location O"
6.11 42 "Degree" 26 "location M"
4.69 46 "HighSchool" 25 "location L"
6.54 46 "Degree" 19 "location T"
6.69 44 "Degree" 24 "location N"
