"x" "y" "winter" "distance" "price"
"1" 342280.83 5072306.59 1 226.89 421.44
"2" 343342.05 5073939.24 1 1725.86 324.42
"3" 341219.6 5071490.26 0 1537.25 221.52
"4" 342444.09 5074673.93 1 2157.23 331.34
"5" 344158.38 5073857.61 0 2240.27 206.34
"6" 343342.05 5073775.97 1 1594.13 344.61
"7" 343342.05 5074184.14 0 1932.51 221.99
"8" 341056.34 5074755.57 1 2590.73 238.1
"9" 342444.09 5074755.57 0 2238.81 227.78
"10" 340484.91 5073041.28 0 1949.16 181.25
"11" 342933.89 5075163.73 0 2706.48 192.22
"12" 342035.93 5074918.83 0 2422.71 241.59
"13" 343260.42 5073612.71 1 1415.62 317.55
"14" 342117.56 5071816.79 0 743.01 202.76
"15" 340240.01 5074429.04 1 2855.95 245.93
"16" 340403.28 5075408.63 0 3491.88 172.68
"17" 342199.2 5072633.12 0 199.73 195.91
"18" 341627.77 5071735.16 1 1073.86 393.55
"19" 342933.89 5073775.97 0 1381.41 204.64
"20" 342525.73 5074918.83 0 2406.13 217.09
"21" 342035.93 5075408.63 1 2908.79 250.77
"22" 342933.89 5073122.91 1 831.88 348.15
"23" 340240.01 5074510.67 0 2911.2 250.94
"24" 343586.95 5072551.48 0 1224.82 202.14
"25" 343750.22 5073531.08 0 1717.96 219.8
"26" 343015.52 5073367.81 1 1071.5 421.57
"27" 343015.52 5073857.61 0 1490.05 196.09
"28" 342607.36 5072306.59 0 323.6 222.52
"29" 343097.16 5071898.42 0 961.13 187.02
"30" 340729.81 5072306.59 0 1646.43 223.96
"31" 342770.62 5074265.77 0 1794.54 234.81
"32" 343831.85 5071490.26 0 1793.18 201.99
"33" 341791.03 5072388.22 0 586.15 135.31
"34" 343505.32 5071490.26 1 1537.07 330.92
"35" 340484.91 5074755.57 1 2920.83 213.67
"36" 341709.4 5074429.04 0 2019.35 204.83
"37" 342525.73 5073612.71 0 1106.56 201.51
"38" 341464.5 5074102.5 0 1821.11 253.02
"39" 341954.3 5074347.4 0 1874.17 219.74
"40" 340974.71 5073449.44 0 1671.33 216.86
"41" 343423.69 5072714.75 0 1079.15 188.15
"42" 341382.87 5074102.5 0 1862.72 224.97
"43" 343097.16 5073122.91 0 951.44 225.06
"44" 341219.6 5073449.44 0 1474.29 193.33
"45" 340403.28 5073939.24 1 2420.35 277.95
"46" 342525.73 5074347.4 1 1836.42 350.69
"47" 341546.14 5073286.18 1 1120.85 386.93
"48" 340158.38 5072143.32 0 2235.86 250.73
"49" 342199.2 5072959.65 1 470.68 444.74
"50" 341546.14 5073857.61 1 1568.59 319.54
"51" 341464.5 5073041.28 0 1039.29 195
"52" 340321.65 5074265.77 1 2686.87 233.23
"53" 342117.56 5073857.61 0 1361.59 183.72
"54" 343260.42 5073939.24 1 1680.88 293.45
"55" 341546.14 5073775.97 1 1499.49 325.73
