"store_id" "metro_area" "size" "quarter" "satisfaction" "sales" "sales0"
"1" 1 199.214444837085 1 0 315.874054273513 84
"2" 0 277.22655190903 1 0 358.097202963222 98
"3" 0 264.63033784751 1 0 321.779402234354 85
"4" 1 384.297432736137 1 1 748.190676625388 111
"5" 0 265.071477104682 1 1 384.948458716931 112
"6" 0 327.271683719425 1 1 483.421837983278 86
"7" 0 323.613231240462 1 0 394.980742694775 30
"8" 1 265.751691496484 1 1 491.957478171859 90
"9" 0 260.046025751548 1 0 311.948455276667 83
"10" 1 329.98548449234 1 1 573.994494247876 27
"11" 1 238.92767139557 1 1 443.825514285696 90
"12" 0 299.671629064888 1 1 403.762332341691 49
"13" 0 334.676260428616 1 1 515.806816491166 101
"14" 0 438.097307555861 1 0 701.217678507535 123
"15" 1 216.219651323315 1 1 370.808523659998 63
"16" 0 309.130693678179 1 0 405.648410604434 76
"17" 1 323.034174813019 1 0 601.654266351031 130
"18" 1 346.77108111333 1 0 641.00014266192 117
"19" 1 344.729507015976 1 1 628.027097171689 62
"20" 1 435.831590744401 1 1 856.029347750117 120
"21" 1 261.18226546873 1 0 405.759817285883 42
"22" 1 246.400225867424 1 1 456.948231435056 90
"23" 1 254.731394708273 1 0 431.785831124393 90
"24" 1 228.072840238001 1 0 328.94998563053 26
"25" 1 252.337134997743 1 1 451.917511741418 73
"26" 0 199.647253707364 1 1 219.829709593161 75
"27" 0 362.684545874657 1 0 529.29919854394 93
"28" 0 283.265711066065 1 0 349.917846831011 71
"29" 0 370.028266900964 1 0 539.541368623004 93
"30" 0 297.71870141147 1 0 406.571225119331 104
"1" 1 199.214444837085 2 0 342.700454678271 84
"2" 0 277.22655190903 2 0 383.861808892969 98
"3" 0 264.63033784751 2 0 344.483932610308 85
"4" 1 384.297432736137 2 1 810.033483097907 111
"5" 0 265.071477104682 2 1 445.535499354242 112
"6" 0 327.271683719425 2 1 551.099909463003 86
"7" 0 323.613231240462 2 0 419.281304724355 30
"8" 1 265.751691496484 2 1 552.651333074927 90
"9" 0 260.046025751548 2 0 336.028892829823 83
"10" 1 329.98548449234 2 1 638.545304598765 27
"11" 1 238.92767139557 2 1 499.247132807271 90
"12" 0 299.671629064888 2 1 467.462521909564 49
"13" 0 334.676260428616 2 1 575.749316098988 101
"14" 0 438.097307555861 2 0 727.127238706684 123
"15" 1 216.219651323315 2 1 445.283229088842 63
"16" 0 309.130693678179 2 0 428.079758068949 76
"17" 1 323.034174813019 2 0 622.11744201028 130
"18" 1 346.77108111333 2 0 667.587042354306 117
"19" 1 344.729507015976 2 1 694.597772632545 62
"20" 1 435.831590744401 2 1 920.530751570661 120
"21" 1 261.18226546873 2 0 436.702953126685 42
"22" 1 246.400225867424 2 1 512.893395326343 90
"23" 1 254.731394708273 2 0 455.098193091311 90
"24" 1 228.072840238001 2 0 363.540634171026 26
"25" 1 252.337134997743 2 1 521.23296971466 73
"26" 0 199.647253707364 2 1 289.532964564473 75
"27" 0 362.684545874657 2 0 558.010793467607 93
"28" 0 283.265711066065 2 0 375.47935262952 71
"29" 0 370.028266900964 2 0 569.020896133483 93
"30" 0 297.71870141147 2 0 434.638168399855 104
"1" 1 199.214444837085 3 0 359.763051348051 84
"2" 0 277.22655190903 3 0 410.773150888225 98
"3" 0 264.63033784751 3 0 387.437147612016 85
"4" 1 384.297432736137 3 1 886.199961171353 111
