"x" "y" "revenue" "population" "distance"
"1" 514793.23 5030229.53 81.22 4268 3674.38
"2" 516262.62 5030392.8 63.11 4374 3837.6
"3" 516752.42 5030556.06 49.77 4153 3920.07
"4" 514140.17 5030719.33 52.42 4706 3234.55
"5" 514303.44 5030882.59 66.02 5137 3047.86
"6" 512670.78 5031045.86 82.58 4543 3511.15
"7" 516915.68 5031045.86 57.91 4607 3608.5
"8" 517895.27 5031045.86 67.32 4198 4277.74
"9" 517895.27 5031372.39 80.47 4502 4066.91
"10" 518221.8 5031372.39 76.31 4042 4327.3
"11" 511691.19 5031862.18 25.12 4428 3645.24
"12" 515283.03 5031862.18 70.5 5567 2119.31
"13" 518385.07 5032025.45 80.94 4100 4125.48
"14" 513813.64 5032188.71 98.31 5833 1935.23
"15" 515936.09 5032188.71 83.3 5620 2106.69
"16" 511854.46 5032351.98 42.77 4471 3250.99
"17" 511364.66 5032515.24 55.77 4318 3623.24
"18" 511854.46 5032515.24 64.48 4725 3176.34
"19" 518548.33 5032515.24 89.13 4272 4080
"20" 511201.4 5032678.51 87.87 4428 3717.65
"21" 511527.93 5032678.51 82.7 4492 3411.03
"22" 514303.44 5033005.04 131.1 6696 986.37
"23" 515119.76 5033005.04 98.1 6589 986.37
"24" 511527.93 5033168.31 126.38 4748 3267.35
"25" 515119.76 5033331.57 103.17 7187 702.23
"26" 517895.27 5033331.57 94.08 4466 3234.55
"27" 514629.97 5033494.84 112.84 7010 416.25
"28" 516262.62 5033494.84 101.4 6267 1603.83
"29" 514793.23 5033658.1 99.48 7210 258.15
"30" 517242.21 5033658.1 88.92 5498 2542.43
"31" 510874.87 5033821.37 74.96 4320 3837.6
"32" 512344.25 5033821.37 95.03 5349 2368.75
"33" 515772.82 5033984.63 77.86 6689 1064.36
"34" 513160.58 5034147.9 91.47 6115 1570.24
"35" 512997.31 5034474.43 118.84 5831 1807.02
"36" 515283.03 5034474.43 85.07 6603 808.12
"37" 512180.99 5034800.96 97.09 5025 2685.21
"38" 518711.6 5034800.96 19.66 4388 4099.55
"39" 511854.46 5034964.22 99.73 5103 3047.86
"40" 516752.42 5034964.22 76 5408 2300.25
"41" 518058.54 5034964.22 81.56 4821 3511.15
"42" 518548.33 5034964.22 30.81 4265 3980.8
"43" 512834.05 5035127.49 58.15 5480 2241.56
"44" 517732.01 5035127.49 93.41 4762 3259.18
"45" 518711.6 5035127.49 18.44 3904 4183.23
"46" 511854.46 5035290.76 76.74 4889 3176.34
"47" 518385.07 5035290.76 52.14 4046 3926.86
"48" 510711.6 5035454.02 82.93 3720 4290.18
"49" 512997.31 5035617.29 81.68 5660 2424.37
"50" 517895.27 5035780.55 78.2 4552 3696.08
"51" 510874.87 5035943.82 35.05 3691 4345.74
"52" 512834.05 5035943.82 121.78 5143 2773.11
"53" 513323.84 5035943.82 129.6 5482 2467.95
"54" 518385.07 5035943.82 69.92 4214 4202.3
"55" 517242.21 5036107.08 54.64 4665 3355.89
"56" 512180.99 5036270.35 66.76 4387 3465.3
"57" 512344.25 5036270.35 68.68 4074 3347.93
"58" 511691.19 5036596.88 52.85 4118 4047.2
"59" 517405.48 5036596.88 55.63 4253 3809.72
"60" 516589.15 5036923.41 37.52 4856 3556.41
"61" 512017.72 5037086.67 45.12 3684 4170.46
"62" 513323.84 5037249.94 40.71 4518 3623.24
"63" 517078.95 5037249.94 37.4 4095 4099.55
"64" 513650.38 5037413.2 16.68 4454 3667.11
"65" 514140.17 5037413.2 26.6 4545 3556.41
"66" 516425.89 5037576.47 0.06 4349 4053.78
"67" 515609.56 5037903 62.93 4395 4099.55
