"x" "y" "sights" "log.chlorofill"
"1" 106495.79 229954.56 3874 6.82
"2" 302414.16 229954.56 32 0.79
"3" 424863.14 238117.83 46 2.88
"4" 253434.57 246281.09 251 3.54
"5" 343230.49 246281.09 404 4.64
"6" 179965.18 254444.36 118 2.43
"7" 408536.61 254444.36 431 5.59
"8" 326903.96 262607.62 179 3.92
"9" 253434.57 270770.89 678 4.27
"10" 310577.42 287097.42 473 5.01
"11" 449352.93 287097.42 282 2.45
"12" 228944.77 303423.95 971 4.32
"13" 335067.22 303423.95 659 5.39
"14" 220781.51 311587.21 211 2.53
"15" 302414.16 319750.48 534 3.31
"16" 122822.32 327913.74 130 3.64
"17" 220781.51 327913.74 93 1.96
"18" 294250.89 327913.74 685 3.5
"19" 122822.32 336077.01 46 2.32
"20" 163638.65 352403.54 206 3.64
"21" 424863.14 360566.8 3226 8.09
"22" 114659.06 368730.07 425 2.8
"23" 179965.18 376893.34 47 2.07
"24" 457516.2 376893.34 3043 7.75
"25" 400373.34 385056.6 754 4.36
"26" 359557.02 409546.4 269 3.08
"27" 82006 417709.66 744 4.62
"28" 237108.04 417709.66 423 3.66
"29" 326903.96 417709.66 236 4.17
"30" 286087.63 425872.93 3375 6.87
"31" 367720.28 425872.93 303 3.63
"32" 163638.65 458525.99 1177 6.41
"33" 237108.04 458525.99 7013 5.92
"34" 122822.32 466689.25 497 6.23
"35" 326903.96 466689.25 195 2.91
"36" 245271.3 474852.52 7663 6.17
"37" 82006 483015.78 22 2.09
"38" 179965.18 483015.78 927 6.18
"39" 441189.67 483015.78 220 3.04
"40" 261597.83 491179.05 4370 5.76
"41" 261597.83 507505.58 253 2.68
"42" 57516.2 515668.85 65 3.01
"43" 171801.91 523832.11 75 2.65
"44" 237108.04 531995.38 902 5.27
"45" 204454.98 548321.91 111 1.97
"46" 294250.89 548321.91 5366 6.97
"47" 73842.73 556485.17 641 5.25
"48" 400373.34 556485.17 57 0.77
"49" 416699.87 556485.17 426 3.44
"50" 269761.1 564648.44 1608 5.27
"51" 163638.65 572811.7 1482 6.25
"52" 228944.77 572811.7 173 3.12
"53" 359557.02 572811.7 4709 6.56
"54" 318740.69 580974.97 312 4.18
"55" 457516.2 580974.97 135 2.48
"56" 139148.85 589138.23 341 4.95
"57" 82006 597301.5 248 3.31
"58" 392210.08 597301.5 1905 5.05
"59" 212618.24 605464.76 917 5.16
"60" 171801.91 621791.29 323 3.77
"61" 130985.59 629954.56 409 5.15
"62" 302414.16 629954.56 2290 5.57
"63" 343230.49 629954.56 221 4.66
"64" 400373.34 629954.56 3556 6.72
