"x" "y" "depth" "rock_type" "concentration"
"1" 689521.61 2228818.76 221 "sandstone" 3807
"2" 690780.03 2231425.51 67 "granite" 2182
"3" 688982.28 2233942.36 10 "sandstone" 3645
"4" 690330.6 2227919.89 315 "sandstone" 4195
"5" 689791.27 2229807.53 33 "shale" 1274
"6" 692937.34 2231964.83 11 "granite" 2258
"7" 692218.24 2229897.42 85 "granite" 2332
"8" 688622.73 2229987.3 110 "granite" 2042
"9" 690330.6 2232953.6 367 "sandstone" 4469
"10" 688442.96 2230976.07 32 "shale" 913
"11" 692308.12 2228189.55 25 "granite" 2481
"12" 686914.87 2233762.58 150 "shale" 1638
"13" 690690.15 2228459.21 1 "sandstone" 3141
"14" 685836.21 2230526.63 91 "shale" 1155
"15" 692487.9 2234751.35 106 "sandstone" 3502
"16" 688532.84 2228009.78 64 "granite" 2317
"17" 687094.64 2233043.48 52 "shale" 898
"18" 690420.48 2229537.87 124 "granite" 2354
"19" 690690.15 2227919.89 46 "sandstone" 3791
"20" 687903.63 2229178.31 39 "granite" 2125
"21" 688802.51 2228818.76 1 "granite" 2094
"22" 686645.2 2230706.4 56 "granite" 2079
"23" 690420.48 2232953.6 62 "sandstone" 3765
"24" 692308.12 2232324.38 30 "granite" 2145
"25" 692937.34 2231785.06 132 "granite" 2503
"26" 692577.79 2231785.06 152 "granite" 2955
"27" 692398.01 2232144.61 4 "granite" 2152
"28" 687993.52 2235560.34 4 "granite" 1960
"29" 689881.16 2228369.33 58 "sandstone" 3448
"30" 692667.67 2229088.43 73 "granite" 2663
"31" 688622.73 2229178.31 134 "granite" 2409
"32" 688173.29 2234032.25 14 "granite" 2365
"33" 687004.75 2235021.01 201 "granite" 3075
"34" 687544.08 2229807.53 81 "granite" 2201
"35" 687454.19 2233492.92 101 "granite" 2262
"36" 685926.1 2232144.61 5 "shale" 1024
"37" 688892.39 2229178.31 3 "granite" 2012
"38" 689251.94 2231425.51 88 "shale" 1303
"39" 687094.64 2232504.16 239 "shale" 1668
"40" 692577.79 2230256.97 26 "granite" 1877
"41" 690690.15 2228818.76 116 "sandstone" 3689
"42" 688173.29 2227919.89 294 "granite" 2706
"43" 692038.46 2233852.47 139 "sandstone" 3678
"44" 691049.7 2234122.13 199 "sandstone" 3800
"45" 693207 2230526.63 75 "granite" 2674
"46" 689431.72 2228099.66 118 "sandstone" 3438
"47" 692487.9 2231964.83 1 "sandstone" 3212
"48" 689341.83 2235830 36 "granite" 2134
"49" 688892.39 2228818.76 60 "granite" 2402
"50" 692038.46 2231964.83 137 "granite" 2657
"51" 691678.91 2229627.75 33 "granite" 2274
"52" 692038.46 2234841.24 274 "granite" 3056
"53" 692847.45 2228459.21 123 "granite" 2743
"54" 688532.84 2228998.54 129 "granite" 2527
"55" 686555.31 2231785.06 11 "granite" 1838
"56" 687903.63 2232683.93 84 "granite" 2401
"57" 690510.37 2232773.82 29 "sandstone" 3643
"58" 688622.73 2235110.9 4 "sandstone" 3508
"59" 689611.49 2234122.13 4 "sandstone" 3304
"60" 689072.17 2235830 221 "granite" 3018
"61" 687454.19 2229807.53 135 "granite" 2630
"62" 687633.97 2230077.19 33 "granite" 2550
"63" 691768.8 2232863.71 11 "granite" 1982
"64" 691139.58 2230976.07 292 "granite" 3060
"65" 690240.71 2235650.22 39 "granite" 1989
"66" 689251.94 2235021.01 132 "sandstone" 4091
"67" 690330.6 2232414.27 148 "granite" 2921
"68" 691319.36 2234661.46 124 "granite" 2350
"69" 686824.98 2235830 58 "granite" 2517
"70" 688173.29 2228638.99 10 "shale" 1329
"71" 690780.03 2228099.66 210 "sandstone" 4268
"72" 689791.27 2234122.13 37 "sandstone" 3757
"73" 687544.08 2231425.51 182 "granite" 2508
"74" 691768.8 2232683.93 45 "granite" 2218
"75" 689701.38 2234212.02 62 "sandstone" 3652
"76" 686555.31 2233582.81 489 "shale" 2456
"77" 690330.6 2228189.55 198 "sandstone" 3922
"78" 686375.54 2233852.47 13 "granite" 1783
"79" 686105.88 2230976.07 31 "shale" 675
"80" 685656.44 2227830 32 "granite" 1956
"81" 692038.46 2233492.92 17 "sandstone" 3290
"82" 688083.4 2234122.13 335 "granite" 3259
"83" 687454.19 2235650.22 199 "granite" 2825
"84" 692847.45 2230167.08 14 "granite" 2172
"85" 689791.27 2235200.79 228 "sandstone" 3938
"86" 688083.4 2230616.52 52 "granite" 1989
"87" 685386.78 2229447.98 226 "granite" 2615
"88" 692218.24 2230346.85 95 "granite" 2565
"89" 690150.82 2233762.58 48 "sandstone" 3752
"90" 688532.84 2235110.9 84 "sandstone" 3560
"91" 692757.56 2229178.31 104 "sandstone" 3392
"92" 688712.62 2228908.65 17 "granite" 2472
"93" 690959.81 2229717.64 175 "sandstone" 3607
"94" 691229.47 2231335.62 117 "granite" 2554
"95" 685656.44 2234122.13 10 "granite" 2140
"96" 688083.4 2235380.56 304 "granite" 3322
"97" 691319.36 2233852.47 11 "sandstone" 3480
"98" 688982.28 2229807.53 34 "shale" 1251
"99" 687184.53 2231065.96 115 "granite" 2265
"100" 686375.54 2228728.88 2 "shale" 838
"101" 687903.63 2228279.44 0 "shale" 1167
"102" 688892.39 2235021.01 38 "sandstone" 3382
"103" 691229.47 2229178.31 159 "sandstone" 3998
"104" 692038.46 2229358.09 254 "granite" 3046
"105" 692398.01 2229268.2 28 "sandstone" 3358
"106" 686465.43 2234751.35 135 "granite" 2129
"107" 691589.02 2233403.03 27 "granite" 2300
"108" 686285.65 2234301.91 107 "granite" 2041
"109" 691768.8 2234751.35 85 "granite" 2551
"110" 689431.72 2230706.4 66 "shale" 710
"111" 689341.83 2235650.22 131 "sandstone" 3477
"112" 686824.98 2233043.48 24 "shale" 1094
"113" 692847.45 2229807.53 47 "granite" 2135
"114" 685386.78 2232504.16 19 "granite" 1944
"115" 692038.46 2234122.13 85 "sandstone" 3452
"116" 690420.48 2232504.16 44 "sandstone" 3304
"117" 689971.04 2231605.28 5 "granite" 2037
"118" 689611.49 2232504.16 169 "granite" 2747
"119" 686285.65 2233223.26 49 "shale" 1158
"120" 689341.83 2229088.43 104 "sandstone" 3437
"121" 688532.84 2231605.28 82 "shale" 1295
"122" 687094.64 2234391.8 278 "granite" 2968
"123" 687723.85 2229987.3 24 "granite" 2019
"124" 690869.92 2234661.46 10 "shale" 1300
"125" 691948.57 2234661.46 36 "granite" 2325
"126" 686914.87 2229807.53 107 "granite" 2294
"127" 690060.93 2232594.04 31 "sandstone" 3460
"128" 689881.16 2229717.64 77 "granite" 2055
"129" 688712.62 2234931.12 97 "sandstone" 3853
"130" 686914.87 2232054.72 101 "shale" 1564
"131" 687364.3 2227830 250 "shale" 1669
"132" 685476.66 2235560.34 186 "granite" 2815
"133" 690869.92 2231335.62 102 "granite" 2454
"134" 688622.73 2229537.87 17 "granite" 2188
"135" 691589.02 2234481.69 11 "granite" 2223
"136" 686195.76 2230167.08 209 "shale" 1590
"137" 692398.01 2231065.96 27 "granite" 2109
"138" 686465.43 2229807.53 141 "shale" 1451
"139" 687364.3 2229447.98 332 "granite" 2749
"140" 691319.36 2234841.24 23 "granite" 2110
"141" 693117.11 2230256.97 81 "granite" 2344
"142" 687723.85 2229537.87 350 "granite" 2897
"143" 685386.78 2228728.88 52 "sandstone" 3371
"144" 686645.2 2232504.16 3 "shale" 1042
"145" 685476.66 2228369.33 210 "granite" 2820
"146" 685656.44 2232594.04 273 "granite" 2884
"147" 689701.38 2229717.64 215 "shale" 1691
"148" 686015.99 2229088.43 62 "granite" 2105
"149" 692847.45 2230256.97 27 "granite" 2362
"150" 690330.6 2230616.52 209 "granite" 2343
"151" 693207 2232414.27 3 "granite" 2121
"152" 693027.22 2232773.82 113 "granite" 2725
"153" 692667.67 2235560.34 75 "sandstone" 3634
"154" 690150.82 2234931.12 91 "granite" 2186
"155" 689431.72 2235200.79 7 "sandstone" 3757
"156" 692847.45 2233043.48 319 "granite" 3274
"157" 693027.22 2232414.27 369 "sandstone" 4134
"158" 689521.61 2230706.4 100 "shale" 726
"159" 691049.7 2231695.17 123 "sandstone" 3416
"160" 691319.36 2235560.34 180 "granite" 2245
"161" 691589.02 2233942.36 113 "granite" 2729
"162" 687364.3 2230886.18 5 "granite" 2123
"163" 687903.63 2228189.55 94 "shale" 1548
"164" 687094.64 2227830 135 "shale" 1194
"165" 692757.56 2231695.17 29 "granite" 2242
"166" 691499.13 2228818.76 328 "sandstone" 4004
"167" 691678.91 2233223.26 70 "granite" 2537
"168" 692937.34 2228908.65 95 "granite" 2706
"169" 688263.18 2235110.9 75 "granite" 2416
"170" 687993.52 2229358.09 66 "granite" 2334
"171" 689881.16 2229987.3 33 "shale" 1282
"172" 689162.06 2228998.54 191 "granite" 2902
"173" 687274.42 2229717.64 55 "granite" 2036
"174" 691678.91 2227919.89 141 "sandstone" 3627
"175" 687094.64 2229537.87 59 "granite" 1895
"176" 689701.38 2230077.19 165 "shale" 1471
"177" 689521.61 2234571.57 19 "sandstone" 3788
"178" 688532.84 2228818.76 12 "granite" 2160
"179" 688982.28 2228099.66 60 "sandstone" 3339
"180" 685836.21 2234032.25 123 "granite" 2337
"181" 693027.22 2229897.42 4 "granite" 2030
"182" 692667.67 2235110.9 48 "granite" 2493
"183" 690959.81 2234122.13 108 "sandstone" 3548
"184" 690959.81 2233672.7 56 "sandstone" 3584
"185" 685656.44 2233852.47 4 "shale" 1087
"186" 688622.73 2229807.53 229 "granite" 2497
"187" 687993.52 2235290.67 145 "granite" 2845
"188" 689611.49 2231425.51 443 "granite" 3529
"189" 686105.88 2230256.97 262 "shale" 1514
"190" 689072.17 2231874.94 252 "shale" 1979
"191" 692937.34 2230526.63 188 "granite" 2380
"192" 687364.3 2230976.07 273 "granite" 2760
"193" 689611.49 2228638.99 62 "sandstone" 3363
"194" 685746.33 2231695.17 519 "shale" 2606
"195" 687723.85 2234751.35 142 "granite" 2742
"196" 692308.12 2234751.35 151 "granite" 2759
"197" 687813.74 2233942.36 370 "granite" 3583
"198" 685566.55 2229627.75 15 "granite" 1883
"199" 689521.61 2228908.65 351 "granite" 3541
"200" 688712.62 2233313.15 329 "sandstone" 4216
